Datetime,open,high,low,close,volume
2021-04-22 10:54,1.20527,1.20536,1.20518,1.20531,89
2021-04-22 10:55,1.20531,1.20537,1.20523,1.20525,61
2021-04-22 10:56,1.20523,1.20531,1.20512,1.20515,162
2021-04-22 10:57,1.20515,1.20524,1.2051,1.2051,69
2021-04-22 10:58,1.20509,1.20509,1.205,1.20502,104
2021-04-22 10:59,1.20502,1.20506,1.20501,1.20503,133
2021-04-22 11:00,1.20505,1.20505,1.20454,1.20454,297
2021-04-22 11:01,1.20453,1.20471,1.20442,1.20469,189
2021-04-22 11:02,1.2047,1.20478,1.20468,1.20478,74
2021-04-22 11:03,1.20478,1.20511,1.20476,1.20503,57
2021-04-22 11:04,1.20503,1.20508,1.20492,1.20504,106
2021-04-22 11:05,1.20505,1.20513,1.20505,1.20513,53
2021-04-22 11:06,1.20512,1.20521,1.20512,1.20519,46
2021-04-22 11:07,1.20519,1.20549,1.20517,1.20549,74
2021-04-22 11:08,1.2055,1.20559,1.20533,1.20533,111
2021-04-22 11:09,1.20533,1.20539,1.20526,1.20537,60
2021-04-22 11:10,1.20539,1.2054,1.20525,1.20526,44
2021-04-22 11:11,1.20524,1.20533,1.20522,1.20527,44
2021-04-22 11:12,1.20527,1.20533,1.20518,1.20531,71
2021-04-22 11:13,1.20532,1.20532,1.20511,1.20522,130
2021-04-22 11:14,1.20523,1.20543,1.2052,1.20543,77
2021-04-22 11:15,1.20543,1.20548,1.20534,1.20539,103
2021-04-22 11:16,1.2054,1.20544,1.20531,1.20542,91
2021-04-22 11:17,1.20542,1.20558,1.20542,1.2055,51
2021-04-22 11:18,1.2055,1.20564,1.20549,1.20558,77
2021-04-22 11:19,1.20557,1.20557,1.20538,1.20544,67
2021-04-22 11:20,1.20544,1.20557,1.20544,1.2055,85
2021-04-22 11:21,1.20549,1.20553,1.20543,1.20553,43
2021-04-22 11:22,1.20552,1.20554,1.20543,1.20543,56
2021-04-22 11:23,1.20541,1.20556,1.20541,1.20553,79
2021-04-22 11:24,1.20555,1.20557,1.20548,1.2055,90
2021-04-22 11:25,1.20549,1.20557,1.20543,1.20547,49
2021-04-22 11:26,1.2055,1.20557,1.20544,1.20557,59
